Timestamp,Min,Average,Max
"2011-01-01 08:00:00","770.0","1696.0","450.0"
"2011-01-01 09:00:00","698.0","1639.0","430.0"
"2011-01-01 10:00:00","654.0","1523.0","411.0"
"2011-01-01 11:00:00","645.0","1503.0","404.0"
"2011-01-01 12:00:00","662.0","1630.0","395.0"
"2011-01-01 13:00:00","754.0","1760.0","444.0"
"2011-01-01 14:00:00","860.0","2114.0","509.0"
"2011-01-01 15:00:00","938.0","2522.0","507.0"
