Timestamp	Min	Average	Max
1294689600	840	1441	435
1294693200	826	1345	458
1294696800	799	1261	496
1294700400	775	1258	460
1294704000	858	1461	561
1294707600	1126	1985	709
1294711200	1242	2297	744
1294714800	1194	2241	656
1294718400	1183	2236	699
1294722000	1039	1911	549
1294725600	893	1689	472
1294729200	753	1503	428
1294732800	679	1473	358
1294736400	650	1412	369
1294740000	638	1431	368
1294743600	639	1467	396
1294747200	691	1627	412
1294750800	801	1767	479
1294754400	967	2284	591
1294758000	984	2222	612
1294761600	945	2106	577
1294765200	936	1743	573
1294768800	866	1503	522
1294772400	823	1395	529
1294776000	801	1410	469
1294779600	775	1358	435
1294783200	742	1276	377
1294786800	746	1197	437
1294790400	820	1308	549
1294794000	1086	1867	739
1294797600	1193	2059	802
1294801200	1207	2080	733
1294804800	1162	2195	641
1294808400	1051	2027	571
1294812000	896	1759	511
1294815600	769	1641	464
1294819200	718	1628	427
1294822800	693	1626	433
1294826400	674	1653	411
1294830000	687	1684	407
1294833600	729	1842	434
1294837200	871	2057	499
1294840800	1039	2244	636
1294844400	1027	2062	631
1294848000	934	1927	561
1294851600	854	1482	519
1294855200	777	1305	481
1294858800	748	1262	482
1294862400	717	1264	459
1294866000	699	1188	460
1294869600	675	1058	394
1294873200	713	1316	463
1294876800	779	1357	504
1294880400	1050	2054	685
1294884000	1192	2267	840
1294887600	1196	2194	730
1294891200	1127	2081	697
1294894800	1071	2056	696
1294898400	888	1627	544
1294902000	750	1482	464
1294905600	685	1454	451
1294909200	659	1525	408
1294912800	648	1454	394
1294916400	650	1490	397
1294920000	706	1628	416
1294923600	844	2024	500
1294927200	1044	2247	688
1294930800	1075	2386	671
1294934400	933	2057	563
1294938000	848	1587	506
1294941600	785	1459	430
1294945200	756	1299	368
1294948800	754	1413	423
1294952400	733	1323	408
1294956000	706	1111	461
1294959600	742	1314	473
1294963200	840	1500	566
1294966800	1098	1905	756
1294970400	1203	2131	837
1294974000	1188	2235	767
1294977600	1094	2070	638
1294981200	991	1808	566
1294984800	876	1682	503
1294988400	750	1570	405
1294992000	696	1584	377
1294995600	667	1603	329
1294999200	659	1562	322
1295002800	685	1683	342
1295006400	726	1680	420
1295010000	855	1888	512
1295013600	1056	2282	673
1295017200	1049	2288	628
1295020800	945	2103	543
1295024400	862	1670	477
1295028000	819	1551	415
1295031600	757	1308	395
1295035200	739	1337	367
1295038800	693	1188	332
1295042400	679	1207	369
1295046000	693	1133	424
1295049600	794	1420	519
1295053200	1034	1850	695
1295056800	1157	2183	767
1295060400	1149	2028	748
1295064000	1119	1942	657
1295067600	1039	1980	649
1295071200	894	1789	435
1295074800	745	1431	356
1295078400	682	1396	323
1295082000	656	1429	313
1295085600	632	1341	281
1295089200	639	1410	292
1295092800	677	1439	363
1295096400	809	1910	480
1295100000	981	2046	645
1295103600	1004	2111	639
1295107200	967	2184	606
1295110800	902	1637	566
1295114400	846	1470	492
1295118000	807	1516	430
1295121600	802	1545	426
1295125200	778	1363	458
1295128800	777	1434	465
1295132400	790	1454	506
1295136000	859	1592	552
1295139600	1076	2030	687
1295143200	1189	2212	777
1295146800	1167	2349	761
1295150400	1110	2202	680
1295154000	1045	1967	615
1295157600	908	1770	477
1295161200	777	1563	368
1295164800	698	1504	333
1295168400	672	1522	343
1295172000	662	1465	373
1295175600	648	1455	341
1295179200	661	1615	349
1295182800	730	1763	452
1295186400	903	2201	514
1295190000	989	2304	554
1295193600	1063	2228	642
1295197200	987	1840	565
1295200800	887	1465	463
1295204400	860	1312	463
1295208000	846	1357	450
1295211600	814	1240	445
1295215200	796	1333	424
1295218800	818	1497	415
1295222400	827	1543	463
1295226000	1028	1800	671
1295229600	1153	2120	776
1295233200	1117	2164	673
1295236800	1050	2068	589
1295240400	955	1818	517
1295244000	843	1562	451
1295247600	715	1391	340
1295251200	632	1279	329
1295254800	625	1309	325
1295258400	610	1313	326
1295262000	613	1367	362
1295265600	629	1458	364
1295269200	715	1660	452
1295272800	836	2098	481
1295276400	954	2405	502
1295280000	978	2114	530
1295283600	999	1923	612
1295287200	920	1527	522
1295290800	874	1454	490
1295294400	834	1381	394
1295298000	817	1394	422
1295301600	785	1193	413
1295305200	818	1251	481
1295308800	868	1346	553
1295312400	1091	1774	659
1295316000	1194	2120	637
1295319600	1162	2062	624
1295323200	1091	1927	562
1295326800	974	1769	478
1295330400	802	1478	368
1295334000	673	1277	292
1295337600	693	1461	334
1295341200	669	1444	347
1295344800	652	1404	367
1295348400	660	1450	365
1295352000	698	1576	377
1295355600	797	1774	484
1295359200	937	2121	591
1295362800	988	2138	612
1295366400	977	1992	616
1295370000	990	1865	585
1295373600	957	1745	587
1295377200	918	1662	536
1295380800	891	1546	504
1295384400	889	1614	484
1295388000	844	1484	446
1295391600	838	1412	481
1295395200	917	1576	580
1295398800	1144	2057	747
1295402400	1250	2289	798
1295406000	1232	2124	816
1295409600	1181	2151	773
1295413200	1058	1873	636
1295416800	884	1678	515
1295420400	745	1516	449
1295424000	604	1136	334
1295427600	588	1187	316
1295431200	576	1164	333
1295434800	572	1174	321
1295438400	628	1352	332
1295442000	740	1507	438
1295445600	898	1612	596
1295449200	930	1873	586
1295452800	857	1737	523
1295456400	800	1424	463
1295460000	743	1237	409
1295463600	702	1127	376
1295467200	706	1110	410
1295470800	678	1057	374
1295474400	686	1040	449
1295478000	677	958	412
1295481600	765	1168	479
1295485200	946	1442	638
1295488800	1084	1677	694
1295492400	1083	1626	683
1295496000	1041	1604	536
1295499600	965	1618	570
1295503200	790	1406	417
1295506800	669	1206	349
1295510400	599	1144	290
1295514000	567	1072	310
1295517600	562	1039	301
1295521200	561	1122	327
1295524800	612	1252	332
1295528400	745	1543	473
1295532000	923	1656	631
1295535600	952	1782	619
1295539200	845	1640	509
1295542800	764	1335	403
1295546400	719	1134	392
1295550000	706	1149	363
1295553600	694	1051	375
1295557200	685	1101	383
1295560800	677	1112	412
1295564400	676	1066	449
1295568000	773	1089	552
1295571600	990	1485	744
1295575200	1118	1945	681
1295578800	1081	1776	666
1295582400	1031	1686	656
1295586000	917	1435	583
1295589600	770	1279	421
1295593200	641	1109	346
1295596800	567	1059	306
1295600400	525	1019	280
1295604000	537	1040	296
1295607600	548	1154	308
1295611200	583	1241	311
1295614800	703	1379	475
1295618400	874	1624	569
1295622000	913	1636	588
1295625600	839	1540	519
1295629200	801	1489	484
1295632800	775	1392	436
1295636400	759	1277	405
1295640000	724	1205	355
1295643600	686	1066	367
1295647200	692	1127	426
1295650800	737	1166	461
1295654400	784	1368	501
1295658000	992	1583	690
1295661600	1080	1632	710
1295665200	1078	1723	659
1295668800	1028	1653	674
1295672400	955	1668	586
1295676000	794	1396	443
1295679600	667	1136	327
1295683200	582	1074	317
1295686800	559	1064	288
1295690400	542	1061	269
1295694000	540	1051	306
1295697600	583	1187	338
1295701200	689	1401	429
1295704800	834	1632	556
1295708400	927	1896	562
1295712000	885	1862	527
1295715600	837	1551	524
1295719200	775	1341	366
1295722800	714	1244	398
1295726400	683	1103	345
1295730000	677	1109	366
1295733600	661	1091	318
1295737200	681	1178	331
1295740800	736	1321	464
1295744400	961	1698	573
1295748000	1066	1986	672
1295751600	1016	1810	526
1295755200	1014	1849	529
1295758800	958	1830	513
1295762400	832	1509	389
1295766000	704	1247	301
1295769600	627	1182	326
1295773200	600	1253	276
1295776800	575	1135	291
1295780400	570	1166	271
1295784000	589	1244	334
1295787600	662	1379	438
1295791200	787	1610	500
1295794800	903	1878	530
1295798400	972	1962	581
1295802000	922	1575	618
1295805600	898	1602	494
1295809200	844	1398	375
1295812800	804	1331	449
1295816400	777	1260	376
1295820000	783	1296	406
1295823600	792	1307	499
1295827200	887	1461	536
1295830800	1070	1757	588
1295834400	1140	1961	623
1295838000	1158	2048	609
1295841600	1085	1953	485
1295845200	974	1692	436
1295848800	819	1422	327
1295852400	700	1246	311
1295856000	625	1185	320
1295859600	585	1131	292
1295863200	555	1064	261
1295866800	550	1098	279
1295870400	568	1162	283
1295874000	649	1504	367
1295877600	781	1686	461
1295881200	890	1934	503
1295884800	934	1932	548
1295888400	924	1720	545
1295892000	907	1570	574
1295895600	871	1551	454
1295899200	810	1310	442
1295902800	789	1353	401
1295906400	770	1382	328
1295910000	803	1397	388
1295913600	890	1439	464
1295917200	1126	2008	661
1295920800	1212	2176	639
1295924400	1205	2149	652
1295928000	1093	1805	536
1295931600	975	1571	426
1295935200	813	1267	383
1295938800	687	1182	310
1295942400	621	1094	261
1295946000	597	1223	249
1295949600	580	1143	266
1295953200	599	1216	287
1295956800	658	1434	327
1295960400	769	1618	436
1295964000	936	1835	604
1295967600	946	1733	597
1295971200	875	1667	499
1295974800	834	1412	457
1295978400	793	1303	438
1295982000	742	1195	393
1295985600	730	1112	326
1295989200	702	1076	276
1295992800	735	1255	381
1295996400	767	1216	474
1296000000	865	1349	556
1296003600	1121	1868	656
1296007200	1238	2215	744
1296010800	1211	2066	660
1296014400	1122	1837	509
1296018000	1006	1677	494
1296021600	837	1393	406
1296025200	718	1266	308
1296028800	648	1209	287
1296032400	616	1262	253
1296036000	606	1270	270
1296039600	620	1329	326
1296043200	640	1390	332
1296046800	805	1786	378
1296050400	989	1904	635
1296054000	999	2002	624
1296057600	936	1767	490
1296061200	827	1393	442
1296064800	794	1124	447
1296068400	761	1147	409
1296072000	730	1078	419
1296075600	697	1079	329
1296079200	727	1088	467
1296082800	744	1186	422
1296086400	837	1347	506
1296090000	1048	1654	682
1296093600	1172	1973	696
1296097200	1173	2067	641
1296100800	1124	1899	578
1296104400	1015	1627	471
1296108000	884	1649	391
1296111600	728	1445	271
1296115200	655	1410	257
1296118800	629	1388	267
1296122400	601	1300	261
1296126000	603	1337	269
1296129600	661	1464	353
1296133200	790	1702	426
1296136800	977	1863	696
1296140400	991	1994	614
1296144000	884	1658	493
1296147600	849	1424	440
1296151200	799	1375	461
1296154800	762	1187	458
1296158400	726	1138	422
1296162000	709	1186	308
1296165600	712	1091	309
1296169200	718	1162	359
1296172800	790	1282	493
1296176400	1004	1621	647
1296180000	1180	1841	711
1296183600	1145	1798	629
1296187200	1089	1811	560
1296190800	968	1571	546
1296194400	830	1355	476
1296198000	687	1166	369
1296201600	638	1173	327
1296205200	590	1173	294
1296208800	575	1168	312
1296212400	567	1185	303
1296216000	633	1455	383
1296219600	739	1573	459
1296223200	934	1785	643
1296226800	980	1900	589
1296230400	841	1625	416
1296234000	796	1412	390
1296237600	747	1217	325
1296241200	749	1200	356
1296244800	713	1087	415
1296248400	684	1034	376
1296252000	673	1074	417
1296255600	685	1161	401
1296259200	791	1379	516
1296262800	1006	1702	698
1296266400	1150	1995	754
1296270000	1128	2112	693
1296273600	1102	2118	696
1296277200	988	1968	531
1296280800	816	1573	410
1296284400	708	1390	417
1296288000	644	1399	360
1296291600	603	1366	345
1296295200	593	1305	319
1296298800	603	1352	360
1296302400	654	1522	387
1296306000	793	1793	464
1296309600	958	2014	585
1296313200	1027	2153	628
1296316800	956	2109	606
1296320400	874	1645	537
1296324000	787	1360	385
1296327600	741	1342	314
1296331200	704	1220	329
1296334800	674	1156	332
1296338400	657	1126	342
1296342000	690	1079	463
1296345600	755	1242	515
1296349200	960	1477	647
